codEstacao;municipio;uf;nomeEstacao;latitude;longitude;datahora;valorMedida
310900602A;BRUMADINHO;MG;Progresso;-44.216;-20.146;2015-06-07 12:00:00.0;0.00;
310900602A;BRUMADINHO;MG;Progresso;-44.216;-20.146;2015-06-07 12:10:00.0;0.20;
310900602A;BRUMADINHO;MG;Progresso;-44.216;-20.146;2015-06-07 12:20:00.0;0.00;
310900602A;BRUMADINHO;MG;Progresso;-44.216;-20.146;2015-06-07 13:00:00.0;0.00;
310900602A;BRUMADINHO;MG;Progresso;-44.216;-20.146;2015-06-07 14:00:00.0;0.00;
310900602A;BRUMADINHO;MG;Progresso;-44.216;-20.146;2015-06-07 15:00:00.0;0.00;
310900602A;BRUMADINHO;MG;Progresso;-44.216;-20.146;2015-06-07 16:00:00.0;0.00;
310900602A;BRUMADINHO;MG;Progresso;-44.216;-20.146;2015-06-07 17:00:00.0;0.00;
310900602A;BRUMADINHO;MG;Progresso;-44.216;-20.146;2015-06-07 18:00:00.0;0.00;
310900602A;BRUMADINHO;MG;Progresso;-44.216;-20.146;2015-06-07 19:00:00.0;0.00;
310900602A;BRUMADINHO;MG;Progresso;-44.216;-20.146;2015-06-07 20:00:00.0;0.00;
310900602A;BRUMADINHO;MG;Progresso;-44.216;-20.146;2015-06-07 21:00:00.0;0.00;
310900602A;BRUMADINHO;MG;Progresso;-44.216;-20.146;2015-06-07 22:00:00.0;0.00;
310900602A;BRUMADINHO;MG;Progresso;-44.216;-20.146;2015-06-07 23:00:00.0;0.00;
310900602A;BRUMADINHO;MG;Progresso;-44.216;-20.146;2015-06-08 00:00:00.0;0.00;
310900602A;BRUMADINHO;MG;Progresso;-44.216;-20.146;2015-06-08 01:00:00.0;0.00;
310900602A;BRUMADINHO;MG;Progresso;-44.216;-20.146;2015-06-08 02:00:00.0;0.00;
310900602A;BRUMADINHO;MG;Progresso;-44.216;-20.146;2015-06-08 03:00:00.0;0.00;
310900602A;BRUMADINHO;MG;Progresso;-44.216;-20.146;2015-06-08 04:00:00.0;0.00;
310900602A;BRUMADINHO;MG;Progresso;-44.216;-20.146;2015-06-08 05:00:00.0;0.00;
310900602A;BRUMADINHO;MG;Progresso;-44.216;-20.146;2015-06-08 06:00:00.0;0.00;
310900602A;BRUMADINHO;MG;Progresso;-44.216;-20.146;2015-06-08 07:00:00.0;0.00;
310900602A;BRUMADINHO;MG;Progresso;-44.216;-20.146;2015-06-08 08:00:00.0;0.00;
310900602A;BRUMADINHO;MG;Progresso;-44.216;-20.146;2015-06-08 09:00:00.0;0.00;
310900602A;BRUMADINHO;MG;Progresso;-44.216;-20.146;2015-06-08 10:00:00.0;0.00;
310900602A;BRUMADINHO;MG;Progresso;-44.216;-20.146;2015-06-08 11:00:00.0;0.00;
310900602A;BRUMADINHO;MG;Progresso;-44.216;-20.146;2015-06-08 12:00:00.0;0.00;
310900602A;BRUMADINHO;MG;Progresso;-44.216;-20.146;2015-06-08 13:00:00.0;0.00;
310900602A;BRUMADINHO;MG;Progresso;-44.216;-20.146;2015-06-08 14:00:00.0;0.00;
310900602A;BRUMADINHO;MG;Progresso;-44.216;-20.146;2015-06-08 15:00:00.0;0.00;
310900602A;BRUMADINHO;MG;Progresso;-44.216;-20.146;2015-06-08 16:00:00.0;0.00;
310900602A;BRUMADINHO;MG;Progresso;-44.216;-20.146;2015-06-08 17:00:00.0;0.00;
310900602A;BRUMADINHO;MG;Progresso;-44.216;-20.146;2015-06-08 18:00:00.0;0.00;
310900602A;BRUMADINHO;MG;Progresso;-44.216;-20.146;2015-06-08 19:00:00.0;0.00;
310900602A;BRUMADINHO;MG;Progresso;-44.216;-20.146;2015-06-08 20:00:00.0;0.00;
310900602A;BRUMADINHO;MG;Progresso;-44.216;-20.146;2015-06-08 21:00:00.0;0.00;
310900602A;BRUMADINHO;MG;Progresso;-44.216;-20.146;2015-06-08 22:00:00.0;0.00;
310900602A;BRUMADINHO;MG;Progresso;-44.216;-20.146;2015-06-08 23:00:00.0;0.00;
310900602A;BRUMADINHO;MG;Progresso;-44.216;-20.146;2015-06-09 00:00:00.0;0.00;
310900602A;BRUMADINHO;MG;Progresso;-44.216;-20.146;2015-06-09 01:00:00.0;0.00;
310900602A;BRUMADINHO;MG;Progresso;-44.216;-20.146;2015-06-09 02:00:00.0;0.00;
310900602A;BRUMADINHO;MG;Progresso;-44.216;-20.146;2015-06-09 03:00:00.0;0.00;
310900602A;BRUMADINHO;MG;Progresso;-44.216;-20.146;2015-06-09 04:00:00.0;0.00;
310900602A;BRUMADINHO;MG;Progresso;-44.216;-20.146;2015-06-09 05:00:00.0;0.00;
310900602A;BRUMADINHO;MG;Progresso;-44.216;-20.146;2015-06-09 06:00:00.0;0.00;
310900602A;BRUMADINHO;MG;Progresso;-44.216;-20.146;2015-06-09 07:00:00.0;0.00;
310900602A;BRUMADINHO;MG;Progresso;-44.216;-20.146;2015-06-09 08:00:00.0;0.00;
310900602A;BRUMADINHO;MG;Progresso;-44.216;-20.146;2015-06-09 09:00:00.0;0.00;
310900602A;BRUMADINHO;MG;Progresso;-44.216;-20.146;2015-06-09 10:00:00.0;0.00;
310900602A;BRUMADINHO;MG;Progresso;-44.216;-20.146;2015-06-09 11:00:00.0;0.00;
310900602A;BRUMADINHO;MG;Progresso;-44.216;-20.146;2015-06-09 12:00:00.0;0.00;
310900602A;BRUMADINHO;MG;Progresso;-44.216;-20.146;2015-06-09 13:00:00.0;0.00;
310900602A;BRUMADINHO;MG;Progresso;-44.216;-20.146;2015-06-09 14:00:00.0;0.00;
310900602A;BRUMADINHO;MG;Progresso;-44.216;-20.146;2015-06-09 15:00:00.0;0.00;
310900602A;BRUMADINHO;MG;Progresso;-44.216;-20.146;2015-06-09 16:00:00.0;0.00;
310900602A;BRUMADINHO;MG;Progresso;-44.216;-20.146;2015-06-09 17:00:00.0;0.00;
310900602A;BRUMADINHO;MG;Progresso;-44.216;-20.146;2015-06-09 18:00:00.0;0.00;
310900602A;BRUMADINHO;MG;Progresso;-44.216;-20.146;2015-06-09 19:00:00.0;0.00;
